,Group 1,Group 2
Absolute Score pct. of Sig Diffs,100.0,100.0
Regret pct. of Sig Diffs,100.0,50.0
Decision Consistency pct. of Sig Diffs,37.5,43.75
Total Number of Tests,32.0,32.0
