,Group 1,Group 2,Group 3,Group 4
Absolute Score pct. of Sig Diffs,100.0,100.0,100.0,100.0
Regret pct. of Sig Diffs,100.0,50.0,100.0,50.0
Decision Consistency pct. of Sig Diffs,53.12,50.0,50.0,53.12
Total Number of Tests,32.0,32.0,32.0,32.0
