,algo1_mab1,algo1_mab2,algo2_mab1,algo2_mab2
Absolute Score Mean,126.68,86.31,127.86,107.37
Absolute Score SD,8.859030660429179,7.892836542515541,7.898369605446584,7.505762096314048
Regret Mean,1.32,41.69,0.14,20.63
Regret SD,8.859030660429179,7.892836542515541,7.898369605446584,7.505762096314048
Decision Consistency Mean,0.999921875,1.0,0.5333984375,0.5403515625
Decision Consistency SD,0.00078125,0.0,0.024538626357939526,0.027391929730747538
