,0,1,2,3,4,5
Unnamed: 0,Absolute Score Mean,Absolute Score SD,Regret Mean,Regret SD,Decision Consistency Mean,Decision Consistency SD
algo1_mab1,128.32,8.831623619560323,-0.32,8.831623619560323,0.9999609375,0.000390625
algo1_mab2,86.28,7.482072850581858,41.72,7.482072850581858,1.0,0.0
algo1_mab3,169.45,8.254016469500645,1.3020000000000096,8.254016469500645,1.0,0.0
algo1_mab4,65.37,6.517505564852152,62.63,6.517505564852152,1.0,0.0
algo1_mab5,191.65,6.68085611159516,0.35,6.68085611159516,1.0,0.0
algo1_mab6,84.78,8.287242233601226,85.97200000000002,8.287242233601226,1.0,0.0
algo1_mab7,63.45,7.425556469981822,128.55,7.425556469981822,1.0,0.0
algo1_mab8,51.27,6.975939891780704,153.53,6.975939891780704,1.0,0.0
algo1_mab9,42.94,5.9268606165217665,170.308,5.9268606165217665,1.0,0.0
algo1_mab10,35.81,4.918928601419072,183.582,4.918928601419072,1.0,0.0
algo1_mab11,85.76,7.164897597018228,84.992,7.164897597018228,1.0,0.0
algo1_mab12,84.78,7.831018355542813,85.97200000000002,7.831018355542813,1.0,0.0
algo1_mab13,84.98,6.234443265303072,85.772,6.234443265303072,1.0,0.0
algo1_mab14,85.09,7.469932997684717,85.662,7.469932997684717,1.0,0.0
algo1_mab15,128.04,25.667225495687383,42.71200000000001,25.667225495687383,1.0,0.0
algo1_mab16,123.64,35.077553327943896,68.36,35.077553327943896,1.0,0.0
algo1_mab17,127.02,13.49072258849006,43.732000000000006,13.49072258849006,1.0,0.0
algo1_mab18,126.44,16.185989701784152,65.56,16.185989701784152,1.0,0.0
algo1_mab19,128.25,11.823939933691964,42.50200000000001,11.823939933691964,1.0,0.0
algo1_mab20,127.32,11.58794218316626,64.68,11.58794218316626,1.0,0.0
algo2_mab1,128.22,8.736987438181968,-0.22,8.736987438181968,0.535234375,0.027323901526283827
algo2_mab2,106.96,8.070297204545628,21.04,8.070297204545628,0.5414453125,0.028472568070970157
algo2_mab3,150.52,8.27980383313225,20.232000000000014,8.27980383313225,0.54625,0.029794257476348007
algo2_mab4,98.87,7.470690203803938,29.13,7.470690203803938,0.5496875,0.03114664885676006
algo2_mab5,163.04,7.632890022855701,28.96,7.632890022855701,0.5633984375,0.03889585270258685
algo2_mab6,134.56,8.062032227445115,36.19200000000001,8.062032227445115,0.579453125,0.033220968727276166
algo2_mab7,134.84,7.726015346303238,57.16,7.726015346303238,0.31125,0.027936950243726583
algo2_mab8,134.67,7.546562532743372,70.13000000000001,7.546562532743372,0.2183203125,0.020780702637186517
algo2_mab9,134.7,8.358749121051957,78.54799999999999,8.358749121051957,0.16796875,0.015625
algo2_mab10,133.0,7.834139223535497,86.39200000000001,7.834139223535497,0.14,0.016069666998515614
algo2_mab11,130.02,7.8482836057035765,40.732000000000006,7.8482836057035765,0.2975390625,0.020937056839403983
algo2_mab12,128.83,8.83067999029005,41.92200000000001,8.83067999029005,0.2072265625,0.016398685650952528
algo2_mab13,128.79,8.239220076848747,41.96200000000001,8.239220076848747,0.163203125,0.015150016941788871
algo2_mab14,128.38,7.973162053496287,42.37200000000001,7.973162053496287,0.1366796875,0.013457349222128854
algo2_mab15,132.13,8.66393313534548,38.62200000000001,8.66393313534548,0.541328125,0.03032982768438139
algo2_mab16,134.39,8.224004038437872,57.61,8.224004038437869,0.2958203125,0.02427008524622564
algo2_mab17,133.48,8.711399706619186,37.27200000000001,8.711399706619186,0.531875,0.02519773639336969
algo2_mab18,133.68,8.986949010940949,58.32,8.986949010940949,0.2915234375,0.022385748863727285
algo2_mab19,131.45,8.454721948847475,39.30200000000001,8.454721948847475,0.53265625,0.02410865637451294
algo2_mab20,133.36,8.289606489911069,58.64,8.289606489911069,0.29015625,0.023803435368734808
algo3_mab1,127.3,8.488256891170593,0.7,8.488256891170593,1.0,0.0
algo3_mab2,84.55,7.804912982645397,43.45,7.804912982645397,1.0,0.0
algo3_mab3,169.11,7.405833081859436,1.6420000000000097,7.405833081859436,1.0,0.0
algo3_mab4,63.64,7.034575504268365,64.36,7.034575504268365,1.0,0.0
algo3_mab5,191.52,7.234150212217692,0.48,7.234150212217692,1.0,0.0
algo3_mab6,85.25,7.743847345936754,85.50200000000002,7.743847345936754,1.0,0.0
